question_id,279200,981995,270700,260300,287100,269800,992973,284400
1,D,A,D,D,A,D,D,D
2,B,B,C,C,A,B,D,B
3,B,C,B,B,C,B,B,B
4,D,B,,C,B,B,D,C
5,B,A,B,A,D,A,C,B
6,A,A,A,A,C,B,A,C
7,B,C,B,B,B,D,B,B
8,D,C,D,D,B,B,D,B
9,A,A,A,D,B,A,A,C
10,B,C,C,C,D,A,A,B
11,A,A,A,A,A,A,A,B
12,C,C,C,C,B,B,C,A
13,B,C,A,C,B,D,D,B
14,D,B,D,C,A,A,B,A
15,A,B,A,B,B,B,C,C
16,B,A,C,C,C,D,C,D
17,C,B,A,A,B,B,C,C
18,D,A,B,D,B,A,B,A
19,A,B,A,A,A,D,C,A
20,D,D,C,C,A,D,B,C
21,D,D,D,C,C,A,D,D
22,D,B,B,B,B,B,A,D
23,C,B,B,B,A,B,B,B
24,C,C,A,B,D,B,C,C
25,A,C,C,C,C,C,C,B
26,C,C,C,D,C,C,A,D
27,C,D,D,D,A,A,C,C
28,B,B,B,C,B,B,B,B
29,A,B,C,C,A,B,A,A
30,B,C,C,C,A,D,B,A
31,C,C,C,C,C,D,C,D
32,C,A,A,C,C,C,D,C
33,D,A,A,A,A,D,D,D
34,B,B,B,B,B,D,A,B
35,D,D,D,C,D,C,B,A
36,C,C,B,C,C,C,C,C
37,A,C,C,B,D,D,B,D
38,D,C,D,C,C,C,C,B
39,B,D,B,B,D,B,A,C
40,A,A,D,A,A,A,B,A
41,D,A,D,A,C,D,D,B
42,C,B,C,C,A,C,B,A
43,A,A,C,A,B,A,B,B
44,D,D,D,D,D,D,D,D
45,B,B,B,B,C,B,B,C
