question_id,offline_key,online_key,solution_key,final_key,match
1,D,,,D,N/A
2,B,,,B,N/A
3,C,,,C,N/A
4,D,,,D,N/A
5,D,,,D,N/A
6,B,,,B,N/A
7,A,,,A,N/A
8,B,,,B,N/A
9,D,,,D,N/A
10,A,,,A,N/A
11,C,,,C,N/A
12,B,,,B,N/A
13,A,,,A,N/A
14,D,,,D,N/A
15,B,,,B,N/A
16,C,,,C,N/A
17,A,,,A,N/A
18,A,,,A,N/A
19,C,,,C,N/A
20,A,,,A,N/A
21,B,,,B,N/A
22,A,,,A,N/A
23,C,,,C,N/A
24,A,,,A,N/A
25,B,,,B,N/A
26,B,,,B,N/A
27,D,,,D,N/A
28,C,,,C,N/A
29,B,,,B,N/A
30,B,,,B,N/A
31,B,,,B,N/A
32,A,,,A,N/A
33,C,,,C,N/A
34,D,,,D,N/A
35,A,,,A,N/A
36,C,,,C,N/A
37,B,,,B,N/A
38,B,,,B,N/A
39,A,,,A,N/A
40,D,,,D,N/A
41,B,,,B,N/A
42,D,,,D,N/A
43,D,,,D,N/A
44,B,,,B,N/A
45,A,,,A,N/A
