question_id,offline_key,online_key,solution_key,final_key,match
1,C,,,C,N/A
2,B,,,B,N/A
3,A,,,A,N/A
4,C,,,C,N/A
5,C,,,C,N/A
6,C,,,C,N/A
7,D,,,D,N/A
8,C,,,C,N/A
9,B,,,B,N/A
10,A,,,A,N/A
11,B,,,B,N/A
12,D,,,D,N/A
13,C,,,C,N/A
14,A,,,A,N/A
15,B,,,B,N/A
16,A,,,A,N/A
17,D,,,D,N/A
18,B,,,B,N/A
19,B,,,B,N/A
20,B,,,B,N/A
21,C,,,C,N/A
22,D,,,D,N/A
23,B,,,B,N/A
24,C,,,C,N/A
25,B,,,B,N/A
26,A,,,A,N/A
27,A,,,A,N/A
28,D,,,D,N/A
29,A,,,A,N/A
30,A,,,A,N/A
31,C,,,C,N/A
32,D,,,D,N/A
33,C,,,C,N/A
34,D,,,D,N/A
35,B,,,B,N/A
36,D,,,D,N/A
37,A,,,A,N/A
38,C,,,C,N/A
39,A,,,A,N/A
40,C,,,C,N/A
41,B,,,B,N/A
42,D,,,D,N/A
43,A,,,A,N/A
44,D,,,D,N/A
45,C,,,C,N/A
