question_id,9492280859,273300,271100,268500,265000,721000,262000,253800
1,B,B,B,D,C,B,B,A
2,B,C,C,A,C,C,C,C
3,B,B,B,B,B,B,A,B
4,B,A,B,C,C,D,B,B
5,D,D,D,C,B,D,A,D
6,B,D,A,D,B,A,B,A
7,A,D,D,B,A,A,D,C
8,A,A,B,A,B,B,B,B
9,B,C,A,D,C,C,C,D
10,B,B,B,C,B,D,A,C
11,C,D,C,B,A,A,B,A
12,B,C,A,C,B,D,C,B
13,B,A,A,A,C,C,C,D
14,A,B,B,D,B,B,D,C
15,C,C,C,D,B,A,A,A
16,D,A,A,D,C,D,C,A
17,B,C,C,B,C,C,C,C
18,B,A,B,B,A,A,A,B
19,A,A,C,A,C,D,B,A
20,C,B,A,A,B,A,A,B
21,B,C,C,B,B,C,A,A
22,C,C,C,A,B,B,B,A
23,C,A,A,A,A,D,A,A
24,B,A,A,A,B,A,B,B
25,D,D,D,D,D,D,C,D
26,A,B,B,A,A,A,A,A
27,B,B,D,D,B,A,C,D
28,A,B,A,A,B,B,A,C
29,D,C,C,B,C,B,D,B
30,B,D,B,D,B,A,B,C
31,B,B,B,B,B,B,B,A
32,A,A,A,A,B,A,A,B
33,D,C,C,C,D,C,A,B
34,C,C,C,C,C,B,C,C
35,D,A,A,A,A,D,A,A
36,C,C,B,B,D,D,C,B
37,B,D,D,D,D,C,C,C
38,B,C,A,B,A,B,C,A
39,A,A,A,A,A,A,A,C
40,C,D,D,A,C,C,D,C
41,B,D,A,D,D,B,D,A
42,C,B,D,C,A,C,C,D
43,C,A,A,A,C,A,A,A
44,B,B,C,D,B,C,B,B
45,B,B,C,B,B,A,B,B
