question_id,2737,2716,240700,274800,250500,229600,260900,67264,324247,269500,270300,260800,260400
1,A,B,A,,C,B,D,C,D,D,C,D,A
2,D,D,D,D,D,D,D,D,D,D,D,D,D
3,B,C,C,C,C,C,C,C,C,A,D,A,C
4,B,B,A,A,A,A,B,D,A,A,A,B,A
5,C,B,B,B,B,B,D,B,D,B,B,D,B
6,D,D,D,D,D,D,A,D,A,D,C,D,A
7,,B,A,A,C,B,C,C,A,A,D,A,B
8,C,D,D,A,,A,D,C,A,D,D,C,C
9,C,B,C,C,A,B,A,D,C,D,D,D,B
10,C,C,C,C,C,C,C,D,B,C,B,A,A
11,D,B,B,B,B,B,D,C,C,B,C,B,B
12,B,B,B,D,B,D,B,D,D,D,C,B,D
13,D,D,D,D,C,D,D,A,C,A,C,C,D
14,A,C,A,A,C,C,D,B,C,A,D,B,B
15,A,C,A,C,A,A,A,A,C,A,C,A,B
16,C,C,C,A,A,A,A,A,C,A,C,A,A
17,D,A,D,D,D,C,C,A,A,C,A,D,A
18,C,D,B,B,B,A,A,A,B,A,A,B,D
19,B,B,A,D,A,C,B,D,B,A,B,A,D
20,A,A,A,A,D,B,C,A,B,D,D,C,
21,C,B,B,B,B,C,B,B,B,B,B,B,B
22,C,C,C,C,C,C,C,C,C,C,D,C,D
23,C,C,D,A,D,A,D,C,D,D,B,A,A
24,D,D,D,D,D,D,D,D,D,D,D,C,C
25,D,C,C,C,D,D,D,D,C,D,C,D,B
26,A,C,C,C,C,C,C,C,C,C,C,B,C
27,D,D,A,D,D,D,D,D,C,B,B,A,B
28,C,C,C,C,C,A,D,C,C,A,C,A,C
29,C,C,C,C,A,C,C,A,C,A,C,B,B
30,B,A,A,B,B,B,B,C,C,D,A,B,C
31,C,B,A,B,A,B,B,A,A,A,B,C,D
32,A,A,A,A,A,A,A,A,A,A,A,A,A
33,B,B,B,A,B,B,C,D,C,B,A,A,D
34,A,C,D,D,D,D,D,D,A,D,C,D,A
35,B,A,B,A,A,A,B,B,A,B,A,A,D
36,C,C,C,B,A,B,D,B,C,C,C,D,C
37,D,B,D,D,D,C,D,D,D,B,D,B,C
38,B,B,B,A,C,B,C,C,B,C,C,C,A
39,C,A,B,B,A,A,D,B,A,B,D,C,B
40,D,A,B,A,A,D,B,B,A,B,A,A,C
41,B,B,B,B,B,B,C,A,C,D,D,B,A
42,A,C,B,B,B,B,A,B,B,B,B,B,B
43,B,C,C,B,C,C,C,C,C,C,C,C,C
44,C,A,A,D,D,C,D,C,B,A,C,A,B
45,A,D,A,A,A,A,A,B,A,A,B,B,A
