question_id,274600,254000,258900,274200,258500,265700,259300,260200,267300,275600,275700,262200,123456,993048
1,B,B,B,B,B,C,B,B,B,B,B,B,B,B
2,B,B,B,B,B,B,B,B,B,D,B,D,D,B
3,C,C,C,C,C,C,C,C,C,C,C,C,C,B
4,D,D,D,D,C,D,D,D,D,D,D,D,D,C
5,A,B,A,A,D,C,A,A,B,D,D,B,A,B
6,B,B,D,C,C,C,C,B,A,B,C,,D,C
7,B,B,B,B,C,B,A,D,A,B,B,B,B,B
8,A,C,C,A,C,B,B,D,D,B,B,,B,B
9,B,D,B,D,B,B,B,C,A,C,B,C,A,A
10,A,A,A,A,A,A,A,A,D,D,D,B,D,B
11,D,B,B,A,B,A,D,A,A,B,D,D,A,D
12,D,D,D,D,D,D,C,D,D,A,C,A,B,B
13,C,C,C,C,C,C,C,C,C,C,C,C,A,C
14,D,D,D,D,D,D,D,D,B,D,A,D,A,C
15,B,A,,A,A,B,A,B,B,B,D,D,A,C
16,A,C,B,B,A,A,A,D,D,A,A,A,C,C
17,A,A,A,C,A,B,C,B,C,C,C,C,D,B
18,D,D,A,D,B,D,D,B,D,C,D,A,B,A
19,B,B,B,A,C,B,C,B,B,A,D,B,D,D
20,B,B,C,C,A,A,A,A,D,C,D,B,D,B
21,B,C,D,D,A,B,A,B,D,B,A,A,C,A
22,C,B,C,C,B,C,C,C,C,A,B,B,C,B
23,A,A,B,C,D,,D,A,D,B,C,B,A,A
24,A,A,D,B,B,B,B,D,D,A,B,B,B,B
25,A,A,A,D,A,A,D,A,A,B,D,A,B,B
26,C,C,C,B,C,C,D,A,C,C,C,A,D,D
27,D,D,A,D,D,C,A,,B,D,B,,B,B
28,B,B,B,B,B,B,B,B,D,B,B,B,A,A
29,A,A,A,A,A,A,C,A,A,A,A,A,C,C
30,A,B,D,D,A,C,B,A,B,A,B,C,B,B
