student_id,question_id,selected_option,correct_option,is_correct,mistake_type,correctness_reason,confidence_signal,key_concept
32245,Q1,A,A,True,None,The student selected the correct option A.,Medium,UNKNOWN
32245,Q2,A,A,True,None,The student selected the correct option A.,Medium,UNKNOWN
32245,Q3,D,D,True,None,The student selected the correct option D.,Medium,UNKNOWN
32245,Q4,C,C,True,None,The student selected the correct option C.,Medium,UNKNOWN
32245,Q5,A,A,True,None,The student selected the correct option A.,Medium,UNKNOWN
32245,Q6,B,B,True,None,The student selected the correct option B.,Medium,UNKNOWN
32245,Q7,B,B,True,None,The student selected the correct option B.,Medium,UNKNOWN
32245,Q8,D,D,True,None,The student selected the correct option D.,Medium,UNKNOWN
32245,Q9,C,C,True,None,The student selected the correct option C.,Medium,UNKNOWN
32245,Q10,C,A,False,Guess,"The student selected option C, but the correct answer is A.",Low,UNKNOWN
32245,Q11,B,B,True,None,The student selected the correct option B.,Medium,UNKNOWN
32245,Q12,B,B,True,None,The student selected the correct option B.,Medium,UNKNOWN
32245,Q13,A,A,True,None,The student selected the correct option A.,Medium,UNKNOWN
32245,Q14,B,B,True,None,The student selected the correct option B.,Medium,UNKNOWN
32245,Q15,D,D,True,None,The student selected the correct option D.,Medium,UNKNOWN
32245,Q16,A,A,True,None,The student selected the correct option A.,Medium,UNKNOWN
32245,Q17,D,D,True,None,The student selected the correct option D.,Medium,UNKNOWN
32245,Q18,C,B,False,Guess,"The student selected option C, but the correct answer is B.",Low,UNKNOWN
32245,Q19,C,A,False,Guess,"The student selected option C, but the correct answer is A.",Low,UNKNOWN
32245,Q20,C,C,True,None,The student selected the correct option C.,Medium,UNKNOWN
32245,Q21,B,B,True,None,The student selected the correct option B.,Medium,UNKNOWN
32245,Q22,B,B,True,None,The student selected the correct option B.,Medium,UNKNOWN
32245,Q23,B,B,True,None,The student selected the correct option B.,Medium,UNKNOWN
32245,Q24,A,D,False,Guess,"The student selected option A, but the correct answer is D.",Low,UNKNOWN
32245,Q25,D,C,False,Guess,"The student selected option D, but the correct answer is C.",Low,UNKNOWN
32245,Q26,C,C,True,None,The student selected the correct option C.,Medium,UNKNOWN
32245,Q27,A,A,True,None,The student selected the correct option A.,Medium,UNKNOWN
32245,Q28,A,A,True,None,The student selected the correct option A.,Medium,UNKNOWN
32245,Q29,B,D,False,Guess,"The student selected option B, but the correct answer is D.",Low,UNKNOWN
32245,Q30,A,A,True,None,The student selected the correct option A.,Medium,UNKNOWN
32245,Q31,B,B,True,None,The student selected the correct option B.,Medium,UNKNOWN
32245,Q32,D,D,True,None,The student selected the correct option D.,Medium,UNKNOWN
32245,Q33,B,B,True,None,The student selected the correct option B.,Medium,UNKNOWN
32245,Q34,A,A,True,None,The student selected the correct option A.,Medium,UNKNOWN
32245,Q35,D,D,True,None,The student selected the correct option D.,Medium,UNKNOWN
32245,Q36,B,D,False,Guess,"The student selected option B, but the correct answer is D.",Low,UNKNOWN
32245,Q37,A,C,False,Guess,"The student selected option A, but the correct answer is C.",Low,UNKNOWN
32245,Q38,D,D,True,None,The student selected the correct option D.,Medium,UNKNOWN
32245,Q39,C,B,False,Guess,"The student selected option C, but the correct answer is B.",Low,UNKNOWN
32245,Q40,B,B,True,None,The student selected the correct option B.,Medium,UNKNOWN
32245,Q41,D,D,True,None,The student selected the correct option D.,Medium,UNKNOWN
32245,Q42,B,B,True,None,The student selected the correct option B.,Medium,UNKNOWN
32245,Q43,C,C,True,None,The student selected the correct option C.,Medium,UNKNOWN
32245,Q44,D,D,True,None,The student selected the correct option D.,Medium,UNKNOWN
32245,Q45,A,B,False,Guess,"The student selected option A, but the correct answer is B.",Low,UNKNOWN
748000,Q1,A,A,True,None,Student selected the correct option matching the answer key.,Medium,UNKNOWN
748000,Q2,A,A,True,None,Student selected the correct option matching the answer key.,Medium,UNKNOWN
748000,Q3,D,D,True,None,Student selected the correct option matching the answer key.,Medium,UNKNOWN
748000,Q4,C,C,True,None,Student selected the correct option matching the answer key.,Medium,UNKNOWN
748000,Q5,A,A,True,None,Student selected the correct option matching the answer key.,Medium,UNKNOWN
748000,Q6,B,B,True,None,Student selected the correct option matching the answer key.,Medium,UNKNOWN
748000,Q7,B,B,True,None,Student selected the correct option matching the answer key.,Medium,UNKNOWN
748000,Q8,D,D,True,None,Student selected the correct option matching the answer key.,Medium,UNKNOWN
748000,Q9,C,C,True,None,Student selected the correct option matching the answer key.,Medium,UNKNOWN
748000,Q10,A,A,True,None,Student selected the correct option matching the answer key.,Medium,UNKNOWN
748000,Q11,C,B,False,Guess,"Student selected an incorrect option. Without solution context, assume a guess.",Low,UNKNOWN
