question_id,total_students,correct_count,accuracy_percentage
Q1,4,0,0.0
Q10,4,1,25.0
Q11,4,3,75.0
Q12,4,3,75.0
Q13,4,2,50.0
Q14,4,2,50.0
Q15,4,1,25.0
Q16,4,3,75.0
Q17,4,2,50.0
Q18,4,1,25.0
Q19,4,2,50.0
Q2,4,3,75.0
Q20,4,4,100.0
Q21,4,3,75.0
Q22,4,2,50.0
Q23,4,4,100.0
Q24,4,3,75.0
Q25,4,3,75.0
Q26,4,1,25.0
Q27,4,1,25.0
Q28,4,3,75.0
Q29,4,2,50.0
Q3,4,2,50.0
Q30,4,2,50.0
Q31,4,4,100.0
Q32,4,1,25.0
Q33,4,3,75.0
Q34,4,3,75.0
Q35,4,2,50.0
Q36,4,2,50.0
Q37,4,4,100.0
Q38,4,4,100.0
Q39,4,1,25.0
Q4,4,1,25.0
Q40,4,4,100.0
Q41,4,2,50.0
Q42,4,4,100.0
Q43,4,0,0.0
Q44,4,2,50.0
Q45,4,3,75.0
Q46,4,2,50.0
Q47,4,4,100.0
Q48,4,3,75.0
Q49,4,1,25.0
Q5,4,2,50.0
Q50,4,4,100.0
Q6,4,3,75.0
Q7,4,0,0.0
Q8,4,1,25.0
Q9,4,2,50.0
