question_id,total_students,correct_count,accuracy_percentage
Q1,18,7,38.89
Q10,18,5,27.78
Q11,18,13,72.22
Q12,18,5,27.78
Q13,18,1,5.56
Q14,18,1,5.56
Q15,18,15,83.33
Q16,18,4,22.22
Q17,18,5,27.78
Q18,18,15,83.33
Q19,18,13,72.22
Q2,18,11,61.11
Q20,18,7,38.89
Q21,18,10,55.56
Q22,18,8,44.44
Q23,18,1,5.56
Q24,18,2,11.11
Q25,18,11,61.11
Q26,18,15,83.33
Q27,18,5,27.78
Q28,18,6,33.33
Q29,18,15,83.33
Q3,18,9,50.0
Q30,18,13,72.22
Q4,18,7,38.89
Q5,18,11,61.11
Q6,18,16,88.89
Q7,18,5,27.78
Q8,18,7,38.89
Q9,18,5,27.78
