student_id,total_questions,attempted,correct,incorrect,score_percentage
261900,30,30,12,18,40.0
265100,30,30,15,15,50.0
268600,30,30,16,14,53.33
269200,30,29,17,12,56.67
271200,30,30,18,12,60.0
271800,30,30,16,14,53.33
272500,30,17,11,6,36.67
273000,30,25,17,8,56.67
280400,30,30,13,17,43.33
281600,30,30,21,9,70.0
281800,30,25,7,18,23.33
283800,30,30,19,11,63.33
286000,30,30,15,15,50.0
30193,30,30,8,22,26.67
316057,30,30,4,26,13.33
413401,30,30,13,17,43.33
900447,30,30,16,14,53.33
998586,30,18,10,8,33.33
