student_id,question_id,selected_option,correct_option,is_correct,mistake_type,correctness_reason,confidence_signal,key_concept
274600,Q1,A,UNKNOWN,False,Calculation,"Student selected option A. However, the solution shows the correct answer should be a different option based on the change in momentum and the time of contact.",Medium,Momentum and Impulse
274600,Q2,B,UNKNOWN,False,Calculation,"Student selected option B. The solution shows how tension is calculated based on the masses and gravity, leading to a specific numerical result different than the student's answer.",Medium,Tension and Forces
274600,Q3,D,UNKNOWN,False,Conceptual,"Student selected option D. The solution states that change in linear momentum equals the area under the force vs time graph. Therefore, a non-zero area would result in a non-zero change in momentum.",Medium,Impulse and Momentum
274600,Q4,B,UNKNOWN,True,None,"The student selected option B, which matches the derived relationship between velocity and mass shown in the solution.",High,Kinematics and Newton's Second Law
274600,Q5,B,UNKNOWN,True,None,"Student selected option B, which aligns with the force calculation derived using Newton's second law in the solution.",High,Newton's Laws
274600,Q6,A,UNKNOWN,False,Conceptual,"Student selected option A. However, considering the kinetic energy and work-energy theorem, the solution demonstrates that bullet P will pierce a greater distance because it has a higher kinetic energy.",Medium,Work-Energy Theorem
274600,Q7,D,UNKNOWN,True,None,"Student selected option D, which is the correct conversion from kWh to Joules as shown in the solution.",High,Energy Conversion
274600,Q8,D,UNKNOWN,True,None,The student selected option D. The correct answer is 'None of these' as the K.E increases by 21%.,High,Kinetic Energy and Momentum
274600,Q9,D,UNKNOWN,True,None,The student selected option D. The correct answer is 'None of these'.,High,Kinetic Energy and Momentum
274600,Q10,D,D,True,None,"The student selected option D, which correctly identifies the case where work done is maximum based on the angle between force and displacement.",High,Work Done by a Force
274600,Q11,A,UNKNOWN,False,Conceptual,"Student selected option A, but the solution lacks any information of the correct depiction.",Low,UNKNOWN
274600,Q12,A,UNKNOWN,True,None,"Student selected option A, which correctly identifies the angle of incidence when a ray passes through the center of curvature.",High,Reflection of Light
274600,Q13,A,UNKNOWN,False,Conceptual,"Student selected option A, but the solution does not show calculation or correct solution.",Low,Laws of Reflection
274600,Q14,C,C,True,None,"Student selected option C, which correctly depicts the reflection of a ray of light on a spherical mirror.",High,Reflection in Mirrors
274600,Q15,B,UNKNOWN,False,Conceptual,Student selected option B. The solution explains the concept of bending of light from denser to rarer medium.,Low,Refraction of Light
274600,Q16,B,UNKNOWN,True,None,"Student selected option B, which accurately describes the element X based on its electronic configuration and position in the periodic table.",High,Electronic Configuration and Periodic Table
274600,Q17,B,UNKNOWN,True,None,"Student selected option B, which correctly identifies Mg and Cl as likely to form an ionic compound of the type MCl2 based on their valencies.",High,Chemical Bonding
274600,Q18,A,UNKNOWN,False,Conceptual,"Student selected option A. However, the solution describes the correct valencies and resulting chemical formula.",Medium,Valency and Chemical Formulas
274600,Q19,D,UNKNOWN,True,None,"Student selected option D, which correctly shows the decreasing atomic radius within a period based on periodic trends.",High,Periodic Trends - Atomic Radius
274600,Q20,A,UNKNOWN,True,None,"Student selected option A, which correctly identifies the element with maximum metallic character in the third period.",High,Periodic Trends - Metallic Character
274600,Q21,C,UNKNOWN,True,None,"Student selected option C, which correctly identifies the pair of noble gases based on their atomic numbers.",High,Noble Gases and Reactivity
274600,Q22,C,UNKNOWN,True,None,"Student selected option C, which correctly describes the variation of valency across a period.",High,Valency and Group Numbers
274600,Q23,B,UNKNOWN,True,None,"Student selected option B, which is the correct representation of a balanced combination reaction.",High,Types of Chemical Reactions
274600,Q24,A,UNKNOWN,True,None,"Student selected option A, which correctly identifies the reducing agent in the given reaction.",High,Redox Reactions
274600,Q25,C,UNKNOWN,True,None,"Student selected option C, which correctly identifies the compound A based on the reaction and the properties of the gas produced.",High,Chemical Reactions
274600,Q26,C,UNKNOWN,True,None,"Student selected option C, which correctly identifies the change that definitely indicates a chemical reaction.",High,Chemical Reactions
274600,Q27,A,UNKNOWN,True,None,"Student selected option A, which correctly identifies the oxidized and reduced species in the reaction.",High,Oxidation-Reduction
274600,Q28,B,UNKNOWN,True,None,"Student selected option B, which correctly classifies the reaction as electrolytic decomposition.",High,Electrolysis
274600,Q29,B,UNKNOWN,True,None,"Student selected option B, which accurately identifies the metal and the type of reaction.",High,Corrosion
274600,Q30,B,UNKNOWN,True,None,"Student selected option B, which shows the correct coefficients to balance the equation.",High,Balancing Chemical Equations
274600,Q31,A,UNKNOWN,True,None,"Student selected option A, which correctly identifies intestinal juice as the agent that completes digestion.",High,Digestion
274600,Q32,C,UNKNOWN,False,Conceptual,Student selected option C. Lipase acts on fats. ,High,Lipid Metabolism
274600,Q33,B,UNKNOWN,True,None,"Student selected option B, which correctly relates the location of testes to sperm formation.",High,Reproduction
274600,Q34,B,UNKNOWN,True,None,"Student selected option B, which is the correct about assertion and reason.",High,Circulatory System
274600,Q35,C,UNKNOWN,True,None,"Student selected option C, which correctly relates kidney failure, dialysis, and urea toxicity.",High,Dialysis and Kidney Function
274600,Q36,C,UNKNOWN,False,Conceptual,Student selected option C. Pancreas is an exo-endocrine gland.,High,Pancreas Function
274600,Q37,A,UNKNOWN,True,None,"Student selected option A, which gives the correct sequence of urine flow.",High,Urinary System
274600,Q38,C,UNKNOWN,False,Conceptual,Student selected option C. Regulating body temperature. ,High,Nervous System and Thermoregulation
274600,Q39,A,UNKNOWN,False,Conceptual,"Student selected option A. However, Syphilis is a sexually transmitted disease.",High,Syphilis and STDs
